agency_name,decision_makers_est,decision_makers_sd,political_review_est,political_review_sd
Administration for Children and Families,-0.781,0.29,-0.447,0.445
Administration for Community Living,-0.769,0.297,-0.441,0.454
Administrative Conference of the United States,1.111,0.297,-0.638,0.451
Administrative Conference of the United States (Initial),1.012,0.304,-0.675,0.441
Agency for Healthcare Research and Quality,-0.622,0.288,-0.339,0.458
Agency for Toxic Substances and Disease Registry,-0.644,0.294,-0.474,0.455
Agricultural Marketing Service,-0.779,0.29,-0.449,0.45
Agricultural Research Service,-0.646,0.286,-0.484,0.441
Air Force,-0.535,0.289,-0.324,0.453
Alcohol and Tobacco Tax and Trade Bureau,-0.767,0.288,-0.436,0.448
Animal and Plant Health Inspection Service,-0.771,0.29,-0.46,0.455
Appalachian Regional Commission,0.755,0.304,-0.309,0.469
Department of the Army,-0.541,0.291,-0.321,0.457
Barry Goldwater Schol and Excellence in Ed. Program,1.544,0.292,-0.309,0.442
Board of Directors of the Hope for Homeowners Program,-0.298,0.3,-0.562,0.436
Benefits Review Board,-0.145,0.292,-0.581,0.453
Board of Veterans Appeals,0.266,0.294,0.061,0.476
Bonneville Power Administration,-0.646,0.299,0.401,0.455
Border and Transportation Security Directorate,-0.639,0.283,-0.16,0.442
Broadcasting Board of Governors,1.719,0.308,-0.563,0.447
"Bureau of Alcohol, Tobacco, Firearms, and Explosives",-0.668,0.289,-0.456,0.453
Bureau of Competition,-0.38,0.275,-0.53,0.44
Bureau of Economic Analysis,-0.785,0.294,-0.465,0.453
Bureau of Economic Analysis,-0.377,0.298,-0.526,0.456
Bureau of Engraving and Printing,-0.611,0.301,-0.256,0.461
Bureau of Indian Affairs,-0.656,0.289,-0.403,0.447
Bureau of Indian Education,-0.767,0.304,-0.473,0.453
Bureau of Industry and Security,-0.766,0.302,-0.449,0.462
Bureau of International Labor Affairs,-0.773,0.295,-0.464,0.449
Bureau of Labor Statistics,-0.306,0.286,-0.265,0.438
Bureau of Land Management,-0.37,0.29,-0.506,0.455
Bureau of Ocean Energy Management,-0.774,0.291,-0.444,0.449
Bureau of Prisons,-0.636,0.293,-0.418,0.46
Bureau of Reclamation,-0.645,0.28,-0.279,0.45
Bureau of Safety and Environmental Enforcement,-0.746,0.28,-0.464,0.454
Bureau of the Census,0.032,0.296,-0.359,0.449
Bureau of the Public Debt,-0.644,0.296,-0.472,0.447
Centers for Disease Control and Prevention,-0.761,0.292,-0.441,0.424
Centers for Medicare and Medicaid Services,-0.791,0.297,-0.475,0.451
Central Intelligence Agency,0.223,0.308,-0.143,0.472
Chemical Safety and Hazard Invest. Board (Initial),0.764,0.306,0.413,0.458
Chemical Safety and Hazard Investigation Board,0.703,0.305,1.941,0.502
Citizen and Immigration Services,-0.494,0.286,-0.372,0.468
Civil Division,-0.78,0.301,-0.487,0.445
Civil Rights Division,-0.78,0.288,-0.456,0.438
Commodity Credit Corporation,-0.262,0.298,1.389,0.489
Commodities Futures Trading Commission,1.588,0.296,3.624,0.461
Community Development Financial Institutions Fund,-0.391,0.281,0.088,0.473
Consular Affairs,-0.772,0.29,-0.45,0.439
Consumer Financial Protection Bureau,0.24,0.283,4.1,0.471
Consumer Product Safety Commission,1.981,0.308,3.54,0.491
Consumer Product Safety Commission (Initial),2.032,0.29,1.763,0.471
Corporation for National Community Service,1.455,0.287,0.477,0.468
Corporation for Public Broadcasting,1.361,0.303,0.247,0.475
Council of Economic Advisers,0.579,0.311,-0.981,0.467
Council on Environmental Quality,0.582,0.301,-0.754,0.491
Council on Environmental Quality (Initial),0.583,0.296,-0.903,0.473
Criminal Division,-0.769,0.298,-0.465,0.458
Customs and Border Protection,-0.641,0.291,-0.318,0.459
Defense Acquisition University,-0.65,0.288,-0.461,0.471
